MODEL_NAME	TASK_TYPE	TIME(S)	BIN_SIZE/START_POINT
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	IICR	2085.15	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.02	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1395.85	100/1/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1394.93	100/2/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1401.68	100/3/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1397.1	100/4/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	IICR	1879.05	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	41.21	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.01	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.02	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	IICR	2234.0	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	48.16	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.02	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.02	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	91.35	G_1_1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1433.15	100/1/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1401.5	100/1/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1396.58	100/2/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1404.21	100/2/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1392.01	100/3/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1408.68	100/3/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1394.59	100/4/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1583.83	100/4/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1394.28	100/5/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1577.33	100/5/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1384.16	100/6/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1570.87	100/6/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1204.37	100/7/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1404.52	100/7/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1327.26	100/8/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1411.53	100/8/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1396.66	100/9/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1455.4	100/9/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1381.72	100/10/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1470.85	100/10/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	17516.35	G_1_1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	17782.58	G_1_2
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	17392.85	G_1_3
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	18385.91	G_1_2
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	16769.44	G_1_4
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	17373.7	G_1_3
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	16401.58	G_1_4
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	18174.93	G_1_5
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	67.47	G_1_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	15077.86	G_1_5
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	16431.67	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	246.51	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	16255.72	G_1_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	207.16	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	16820.05	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	73.21	G_1_10
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	103850.30923557281	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	16357.47	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	82.09	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	17552.53	G_1_10
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	135210.906031847	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	IICR	1728.15	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	IICR	1753.72	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	49.45	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	37.95	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.02	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.02	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.02	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.02	NA
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1389.11	100/1/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1344.42	100/1/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1401.63	100/2/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1340.38	100/2/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1401.87	100/3/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1391.96	100/3/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1385.36	100/4/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1375.8	100/4/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1423.04	100/5/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1322.07	100/5/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1314.55	100/6/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1451.24	100/6/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1197.64	100/7/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1409.14	100/7/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1173.79	100/8/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1409.28	100/8/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1174.23	100/9/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1458.39	100/9/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events	PSMC	1174.89	100/10/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.4384_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	PSMC	1421.15	100/10/4_25_2_4_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	15973.31	G_1_1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	91.66	G_1_2
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	17717.62	G_1_1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	16612.96	G_1_3
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	17433.19	G_1_2
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	15975.41	G_1_4
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	15776.35	G_1_3
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	80.62	G_1_4
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	15462.14	G_1_5
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	14819.53	G_1_5
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	16350.98	G_1_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	16894.63	G_1_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	16569.42	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	16871.0	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	73.54	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	62.01	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	16844.13	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	17456.6	G_1_10
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	117185.28318500519	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	17220.66	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	17625.69	G_1_10
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	148727.00531172752	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	900.57	G_1_1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	918.87	G_1_1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1093.5	G_1_2
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1002.85	G_1_2
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	957.64	G_1_3
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	995.63	G_1_3
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	912.9	G_1_4
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1024.1	G_1_4
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	896.51	G_1_5
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	926.78	G_1_5
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	944.86	G_1_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1043.84	G_1_6
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	936.97	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	914.96	G_1_7
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1049.47	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	985.9	G_1_8
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	956.57	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1103.36	G_1_9
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	989.14	G_1_10
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	9638.383790493011	ALL_RUN
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	978.74	G_1_10
StSI_50I_N-50x1400_sam-49x0-1x20_m_-5.1374_size-5x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	9895.170909643173	ALL_RUN
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	38.9	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	44.21	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	57.28	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	45.69	10000000/1
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	84.89	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.01	NA
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.02	NA
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	87.45	10000000/1
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	98.84	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	48.36	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.01	NA
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.01	NA
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	52.72	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.01	NA
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.01	NA
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	39.08	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	45.29	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	54.09	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	47.01	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	88.49	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	43.9	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.01	NA
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.01	NA
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	86.22	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.01	NA
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.01	NA
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	47.13	10000000/1
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	98.59	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.01	NA
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.01	NA
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	128.55	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	52.1	10000000/1
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	47.04	10000000/1
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.01	NA
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.01	NA
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.01	NA
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	48.53	10000000/1
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.02	NA
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.01	NA
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.01	NA
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	63.96	10000000/1
