MODEL_NAME	TASK_TYPE	TIME(S)	BIN_SIZE/START_POINT
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	798.65	G_1_4
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.2253_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	897.17	G_1_3
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.6513_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1041.12	G_1_3
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events	IICR	2963.36	10000000/1
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.328_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	804.1	G_1_3
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	1288.42	G_1_2
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	IICR	52.93	10000000/1
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SFS_STATS	0.02	NA
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	779.08	G_1_3
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	810.23	G_1_1
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	707.19	G_1_4
StSI_5I_N-5x1400_sam-4x0-1x20_m_-2.8731_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	910.99	G_1_3
StSI_20I_N-20x1400_sam-19x0-1x20_m_-4.7259_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	933.99	G_1_3
StSI_50I_N-50x1400_sam-49x0-1x20_m_-3.9613_size-1x100000000_mu_1.0E-08_gr_0_no_events	SFS_STATS	0.02	NA
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.4014_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	798.31	G_1_4
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events	SMCPP	761.01	G_1_4
StSI_5I_N-5x1400_sam-4x0-1x20_m_-3.3502_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1021.08	G_1_3
StSI_50I_N-50x1400_sam-49x0-1x20_m_-4.7394_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	1132.66	G_1_1
StSI_10I_N-10x1400_sam-9x0-1x20_m_-4.0035_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	635.46	G_1_4
StSI_10I_N-10x1400_sam-9x0-1x20_m_-3.7024_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	884.94	G_1_3
StSI_5I_N-5x1400_sam-4x0-1x20_m_-4.0492_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	692.77	G_1_6
StSI_20I_N-20x1400_sam-19x0-1x20_m_-3.0269_size-1x100000000_mu_1.0E-08_gr_0_no_events_deme_1_ditto	SMCPP	906.54	G_1_2
